nome *,tipo * (jovem|casal),nome_conjuge,data_nascimento (DD/MM/AAAA),telefone,email,habilidades (separadas por vírgula),observacoes
Lucas Oliveira,jovem,,15/03/2001,(11)99234-5678,lucas.oliveira@email.com,música,
Gabriel Santos,jovem,,22/07/2000,(11)98765-4321,gabriel.santos@email.com,teatro,
Mateus Ferreira,jovem,,10/11/1999,(21)97654-3210,,
Rafael Costa,jovem,,05/02/2002,(31)96543-2109,rafael.costa@email.com,esportes,
Thiago Almeida,jovem,,28/09/2001,(41)95432-1098,,
Felipe Rodrigues,jovem,,14/04/2000,(51)94321-0987,felipe.rodrigues@email.com,música;louvor,
Bruno Martins,jovem,,30/06/1999,(61)93210-9876,,
Vinicius Lima,jovem,,18/12/2002,(71)92109-8765,vinicius.lima@email.com,pregação,
Eduardo Pereira,jovem,,03/08/2001,(81)91098-7654,,
Henrique Souza,jovem,,25/01/2000,(91)90987-6543,henrique.souza@email.com,teatro,
Pedro Carvalho,jovem,,12/05/2001,(11)98876-5432,,
Gustavo Mendes,jovem,,07/10/2002,(21)97765-4321,gustavo.mendes@email.com,música,
Caio Nascimento,jovem,,19/03/2000,(31)96654-3210,,
Diego Araujo,jovem,,23/11/1999,(41)95543-2109,diego.araujo@email.com,esportes;dança,
André Batista,jovem,,09/07/2001,(51)94432-1098,,
Victor Gomes,jovem,,16/02/2002,(61)93321-0987,victor.gomes@email.com,louvor,
Leonardo Xavier,jovem,,04/09/2000,(71)92210-9876,,
Renato Barbosa,jovem,,27/04/1999,(81)91109-8765,renato.barbosa@email.com,pregação,
Marcelo Castro,jovem,,11/12/2001,(91)90098-7654,,
Danilo Teixeira,jovem,,20/06/2002,(11)98987-6543,danilo.teixeira@email.com,música;teatro,
Isabela Oliveira,jovem,,08/03/2001,(21)97876-5432,,
Camila Santos,jovem,,31/08/2000,(31)96765-4321,camila.santos@email.com,louvor,
Letícia Ferreira,jovem,,17/11/1999,(41)95654-3210,,
Amanda Costa,jovem,,02/05/2002,(51)94543-2109,amanda.costa@email.com,dança,
Bruna Almeida,jovem,,24/01/2001,(61)93432-1098,,
Fernanda Rodrigues,jovem,,13/07/2000,(71)92321-0987,fernanda.rodrigues@email.com,pregação,
Juliana Martins,jovem,,06/10/2002,(81)91210-9876,,
Gabriela Lima,jovem,,21/02/1999,(91)90109-8765,gabriela.lima@email.com,música;louvor,
Natalia Pereira,jovem,,15/09/2001,(11)98098-7654,,
Paula Souza,jovem,,28/04/2000,(21)97987-6543,paula.souza@email.com,teatro,
Priscila Carvalho,jovem,,10/12/2002,(31)96876-5432,,
Thais Mendes,jovem,,25/06/2001,(41)95765-4321,thais.mendes@email.com,esportes,
Raquel Nascimento,jovem,,04/03/2000,(51)94654-3210,,
Larissa Araujo,jovem,,18/08/1999,(61)93543-2109,larissa.araujo@email.com,música,
Mariana Batista,jovem,,07/11/2002,(71)92432-1098,,
Jéssica Gomes,jovem,,22/04/2001,(81)91321-0987,jessica.gomes@email.com,dança;teatro,
Caroline Xavier,jovem,,14/01/2000,(91)90210-9876,,
Aline Barbosa,jovem,,29/07/2002,(11)98109-8765,aline.barbosa@email.com,louvor,
Tatiane Castro,jovem,,03/10/1999,(21)97098-7654,,
Roberta Teixeira,jovem,,16/02/2001,(31)96987-6543,roberta.teixeira@email.com,pregação,
Daiane Oliveira,jovem,,09/06/2002,(41)95876-5432,,
Samara Santos,jovem,,20/11/2000,(51)94765-4321,samara.santos@email.com,música,
Mônica Ferreira,jovem,,12/03/1999,(61)93654-3210,,
Débora Costa,jovem,,26/08/2001,(71)92543-2109,debora.costa@email.com,teatro,
Vanessa Almeida,jovem,,01/05/2000,(81)91432-1098,,
Kelly Rodrigues,jovem,,17/01/2002,(91)90321-0987,kelly.rodrigues@email.com,esportes;dança,
Luana Martins,jovem,,05/09/2001,(11)98210-9876,,
Adriana Lima,jovem,,23/04/2000,(21)97109-8765,adriana.lima@email.com,louvor,
Elaine Pereira,jovem,,11/12/1999,(31)96098-7654,,
Silvia Souza,jovem,,30/07/2002,(41)95987-6543,silvia.souza@email.com,pregação,
João,casal,Maria Souza,10/05/1985,(11)99111-2233,joao.souza@email.com,liderança,Casal de líderes
Pedro,casal,Ana Costa,22/08/1983,(21)98222-3344,pedro.costa@email.com,música;liderança,
Carlos,casal,Fernanda Lima,15/03/1987,(31)97333-4455,carlos.lima@email.com,,
Marcos,casal,Patrícia Alves,07/11/1984,(41)96444-5566,,esportes,
Roberto,casal,Sandra Melo,18/06/1986,(51)95555-6677,roberto.melo@email.com,pregação,
Fabio,casal,Cristina Nunes,03/09/1988,(61)94666-7788,,louvor,
Sérgio,casal,Claudia Ramos,25/02/1985,(71)93777-8899,sergio.ramos@email.com,música,
Adriano,casal,Luciana Dias,12/07/1987,(81)92888-9900,,teatro,
Wagner,casal,Simone Freitas,30/01/1983,(91)91999-0011,wagner.freitas@email.com,liderança,
Rodrigo,casal,Renata Campos,08/10/1986,(11)98000-1122,,esportes;dança,
Alexandre,casal,Juliana Pires,21/04/1984,(21)97111-2233,alexandre.pires@email.com,pregação,
Leandro,casal,Viviane Rocha,14/12/1987,(31)96222-3344,,louvor,
Renato,casal,Denise Fonseca,05/08/1985,(41)95333-4455,renato.fonseca@email.com,música,
Paulo,casal,Eliane Torres,19/03/1983,(51)94444-5566,,liderança,
Márcio,casal,Cibele Cardoso,27/11/1986,(61)93555-6677,marcio.cardoso@email.com,teatro,
Antonio,casal,Rosana Moura,09/06/1984,(71)92666-7788,,pregação,
Ricardo,casal,Tatiana Lopes,23/01/1988,(81)91777-8899,ricardo.lopes@email.com,música;louvor,
Cláudio,casal,Meire Correia,16/09/1985,(91)90888-9900,,esportes,
Gilson,casal,Sonia Andrade,04/04/1987,(11)98999-0011,gilson.andrade@email.com,liderança,
Elias,casal,Rayanne Borges,11/07/1986,(21)97000-1122,elias.borges@email.com,pregação;louvor,Família nova no movimento
